"序号","省份","学校名称","类型","学校标识码","主管部门","所在地","办学层次","备注","985","211","双一流","隶属关系","院校层级","数据状态"
"566","广东","华南理工大学","公办普通本科","4144010561","教育部","广州市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"567","广东","华南农业大学","公办普通本科","4144010564","广东省","广州市","本科","","","","是","其他所属","双一流","已匹配教育部名单"
"572","广东","华南师范大学","公办普通本科","4144010574","广东省","广州市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"574","广东","惠州学院","公办普通本科","4144010577","广东省","惠州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"564","广东","暨南大学","公办普通本科","4144010559","中央统战部","广州市","本科","","","是","是","其他所属","211/双一流","已匹配教育部名单"
"578","广东","嘉应学院","公办普通本科","4144010582","广东省","梅州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"576","广东","岭南师范学院","公办普通本科","4144010579","广东省","湛江市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"565","广东","汕头大学","公办普通本科","4144010560","广东省","汕头市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"573","广东","韶关学院","公办普通本科","4144010576","广东省","韶关市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"583","广东","深圳大学","公办普通本科","4144010590","广东省","深圳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"596","广东","深圳技术大学","公办普通本科","4144014655","广东省","深圳市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"588","广东","五邑大学","公办普通本科","4144011349","广东省","江门市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"581","广东","星海音乐学院","公办普通本科","4144010587","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"602","广东","湛江科技学院","公办普通本科","4144012622","广东省教育厅","湛江市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"577","广东","肇庆学院","公办普通本科","4144010580","广东省","肇庆市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"563","广东","中山大学","公办普通本科","4144010558","教育部","广州市","本科","","是","是","是","教育部直属","985/211/双一流","已匹配教育部名单"
"587","广东","仲恺农业工程学院","公办普通本科","4144011347","广东省","广州市","本科","","","","","其他所属","公办本科","已匹配教育部名单"
"623","广西","百色学院","公办普通本科","4145010609","广西壮族自治区","百色市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"622","广西","广西财经学院","公办普通本科","4145011548","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"630","广西","广西城市职业大学","公办职业本科","4145013920","广西壮族自治区教育厅","崇左市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"609","广西","广西大学","公办普通本科","4145010593","广西壮族自治区","南宁市","本科","","","是","是","地方所属","211/双一流","已匹配教育部名单"
"627","广西","广西警察学院","公办普通本科","4145013520","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"610","广西","广西科技大学","公办普通本科","4145010594","广西壮族自治区","柳州市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"619","广西","广西民族师范学院","公办普通本科","4145010604","广西壮族自治区","崇左市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"617","广西","广西师范大学","公办普通本科","4145010602","广西壮族自治区","桂林市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"613","广西","广西医科大学","公办普通本科","4145010598","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"625","广西","广西艺术学院","公办普通本科","4145010607","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"615","广西","广西中医药大学","公办普通本科","4145010600","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"611","广西","桂林电子科技大学","公办普通本科","4145010595","广西壮族自治区","桂林市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"612","广西","桂林理工大学","公办普通本科","4145010596","广西壮族自治区","桂林市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"628","广西","桂林学院","公办普通本科","4145013641","广西壮族自治区教育厅","桂林市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"616","广西","桂林医学院","公办普通本科","","","","","","","","","待补","公办本科","待校对"
"620","广西","河池学院","公办普通本科","4145010605","广西壮族自治区","河池市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"626","广西","贺州学院","公办普通本科","4145011838","广西壮族自治区","贺州市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"629","广西","南宁理工学院","公办普通本科","4145013645","广西壮族自治区教育厅","桂林市","本科","民办","","","","地方所属","公办本科","已匹配教育部名单"
"618","广西","南宁师范大学","公办普通本科","4145010603","广西壮族自治区","南宁市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"624","广西","梧州学院","公办普通本科","4145011354","广西壮族自治区","梧州市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
"614","广西","右江民族医学院","公办普通本科","4145010599","广西壮族自治区","百色市","本科","","","","","地方所属","公办本科","已匹配教育部名单"
